"product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url"
"から揚げ丼 並盛,N/A,N/A,943,31.9,44.0,104.5,N/A,N/A,2.2,N/A"
"から揚げ丼 アタマの大盛,N/A,N/A,1172,41.0,58.5,119.1,N/A,N/A,2.9,N/A"
"から揚げ丼 大盛,N/A,N/A,1264,42.3,58.6,140.9,N/A,N/A,2.7,N/A"
"から揚げ丼 特盛,N/A,N/A,1461,50.9,73.1,148.0,N/A,N/A,3.3,N/A"
"タルタル南蛮から揚げ丼 並盛,N/A,N/A,886,29.9,41.0,99.9,N/A,N/A,2.3,N/A"
"タルタル南蛮から揚げ丼 アタマの大盛,N/A,N/A,1114,39.0,55.5,114.3,N/A,N/A,3.0,N/A"
"タルタル南蛮から揚げ丼 大盛,N/A,N/A,1208,40.5,55.7,136.6,N/A,N/A,3.0,N/A"
"タルタル南蛮から揚げ丼 特盛,N/A,N/A,1405,49.1,70.1,143.6,N/A,N/A,3.7,N/A"
"ヤンニョムから揚げ丼 並盛,N/A,N/A,1230,34.3,69.5,116.3,N/A,N/A,4.4,N/A"
"ヤンニョムから揚げ丼 アタマの大盛,N/A,N/A,1458,43.4,84.0,130.7,N/A,N/A,5.1,N/A"
"ヤンニョムから揚げ丼 大盛,N/A,N/A,1550,44.7,84.2,152.6,N/A,N/A,4.9,N/A"
"ヤンニョムから揚げ丼 特盛,N/A,N/A,1746,53.3,98.6,159.5,N/A,N/A,5.5,N/A"
"から牛 並盛,N/A,N/A,1013,32.9,44.6,119.7,N/A,N/A,3.3,N/A"
"から牛 アタマの大盛,N/A,N/A,1241,42.1,59.1,134.1,N/A,N/A,4.0,N/A"
"から牛 大盛,N/A,N/A,1339,43.8,59.7,155.8,N/A,N/A,3.5,N/A"
"から牛 特盛,N/A,N/A,1537,52.5,74.2,162.7,N/A,N/A,4.1,N/A"
"にんにくマシマシから揚げ超特盛丼,N/A,N/A,2123,72.4,101.1,228.9,N/A,N/A,8.5,N/A"
"から揚げ定食 並盛,N/A,N/A,1168,42.2,59.0,115.9,N/A,N/A,4.2,N/A"
"から揚げ定食 大盛,N/A,N/A,1366,50.8,73.4,123.0,N/A,N/A,5.0,N/A"
"から揚げ定食 特盛,N/A,N/A,1563,59.5,87.8,130.1,N/A,N/A,5.7,N/A"
"から揚げお新香定食,N/A,N/A,953,34.1,41.3,111.2,N/A,N/A,4.4,N/A"
"タルタル南蛮から揚げ定食 並盛,N/A,N/A,1454,44.6,84.6,127.5,N/A,N/A,6.4,N/A"
"タルタル南蛮から揚げ定食 大盛,N/A,N/A,1651,53.2,99.0,134.6,N/A,N/A,7.1,N/A"
"タルタル南蛮から揚げ定食 特盛,N/A,N/A,1849,61.9,113.4,141.6,N/A,N/A,7.9,N/A"
"ヤンニョムから揚げ定食 並盛,N/A,N/A,1238,43.2,59.6,131.0,N/A,N/A,5.3,N/A"
"ヤンニョムから揚げ定食 大盛,N/A,N/A,1435,51.9,74.0,138.0,N/A,N/A,6.0,N/A"
"ヤンニョムから揚げ定食 特盛,N/A,N/A,1633,60.6,88.5,145.0,N/A,N/A,6.7,N/A"
"から揚げ 1個,N/A,N/A,197,8.7,14.4,7.0,N/A,N/A,0.7,N/A"
"タルタルソース,N/A,N/A,251,1.8,25.9,2.7,N/A,N/A,0.8,N/A"
"ヤンニョムソース,N/A,N/A,64,0.9,0.1,15.0,N/A,N/A,1.1,N/A"
"ハニーマスタードソース,N/A,N/A,81,1.0,0.6,18.0,N/A,N/A,1.7,N/A"
"ピリ辛青ねぎ,N/A,N/A,32,1.9,0.6,5.2,N/A,N/A,1.5,N/A"